s	r	d	f	mean	sd
0.01	0.001	5	0.2	3073555.8	278981.968895769
0.01	0.001	5	0.25	2342334.6	443627.166732877
0.01	0.001	5	0.3	1467815	361804.897421248
0.01	0.001	5	0.35	1160337.6	219825.872626131
0.01	0.001	5	0.4	902014.2	243323.854027015
0.01	0.001	5	0.45	700723	382419.409487019
0.01	0.001	5	0.5	768834.25	334030.018046563
0.01	0.001	5	0.55	562855.2	227547.548569876
0.01	0.001	5	0.6	643141.2	150980.88225388
0.01	0.001	5	0.65	466588.4	90614.2890577419
0.01	0.001	5	0.7	326593.8	161333.574002933
0.01	0.001	5	0.75	520321.8	108199.775595701
0.01	0.001	5	0.8	263127.6	101408.475000071
0.01	0.001	5	0.85	273818	100438.059668634
0.01	0.001	5	0.9	435998	154787.517289993
0.01	0.001	5	0.95	272565.2	241327.094453482
0.01	0.001	5	1	428225.8	121340.396598
0.01	0.001	5	1.05	154382.6	111274.450791905
0.01	0.001	5	1.1	288008.8	130045.278177103
0.01	0.001	5	1.15	236641	172770.681913339
0.01	0.001	5	1.2	310844.4	210624.048604712
0.01	0.001	5	1.25	140885.4	75136.4859561585
0.01	0.001	5	1.3	382528.2	168161.827343069
0.01	0.001	5	1.35	170887.6	76081.7864685103
0.01	0.001	5	1.4	191624.4	124095.934216396
0.01	0.001	5	1.45	127509	66149.5552668346
0.01	0.001	5	1.5	245879.4	184591.140066472
0.01	0.001	6	0.1	5000001	0
0.01	0.001	6	0.15	3292167.6	224617.606548196
0.01	0.001	6	0.2	2218317.2	373902.953048194
0.01	0.001	6	0.25	1480266.4	349597.278433114
0.01	0.001	6	0.3	1272790.2	229769.614524114
0.01	0.001	6	0.35	791497	184652.134906694
0.01	0.001	6	0.4	675637	125076.036293129
0.01	0.001	6	0.45	631753.4	105817.107716286
0.01	0.001	6	0.5	481379.8	186407.743317063
0.01	0.001	6	0.55	606048.2	241308.23898856
0.01	0.001	6	0.6	320522.8	167606.841148445
0.01	0.001	6	0.65	218946.2	79453.0706704278
0.01	0.001	6	0.7	414051.2	139519.65279974
0.01	0.001	6	0.75	272601.6	175837.01032786
0.01	0.001	6	0.8	453836.4	227685.973674796
0.01	0.001	6	0.85	228218.4	119016.376783365
0.01	0.001	6	0.9	182815	44122.4503263361
0.01	0.001	6	0.95	156720	98402.3414619794
0.01	0.001	6	1	237347.8	74122.7305686994
0.01	0.001	6	1.05	352595	218066.847447291
0.01	0.001	6	1.1	306377	120034.911126722
0.01	0.001	6	1.15	140268	109887.144525645
0.01	0.001	6	1.2	308370.4	141623.012331471
0.01	0.001	6	1.25	187359.4	100056.363433017
0.01	0.001	6	1.3	104867.2	62480.4154192336
0.01	0.001	6	1.35	179195.4	119951.329797714
0.01	0.001	6	1.4	161805.8	85056.2493327798
0.01	0.001	6	1.45	151510	65616.8615281164
0.01	0.001	6	1.5	115052.8	75576.318455982
0.01	0.001	7	0.1	4970088.8	36836.103965539
0.01	0.001	7	0.15	3152947.4	359885.393824534
0.01	0.001	7	0.2	1771304.2	334959.982344996
0.01	0.001	7	0.25	1499008.8	210055.671086881
0.01	0.001	7	0.3	952717.6	82996.042916756
0.01	0.001	7	0.35	573091.4	171761.712096264
0.01	0.001	7	0.4	570609.8	147663.559373869
0.01	0.001	7	0.45	619191.6	160369.432932339
0.01	0.001	7	0.5	526238	127153.685683113
0.01	0.001	7	0.55	417023.6	159697.791200254
0.01	0.001	7	0.6	494519.8	82705.1058917163
0.01	0.001	7	0.65	394503.8	181641.805395564
0.01	0.001	7	0.7	253767.6	97444.4454868516
0.01	0.001	7	0.75	310387	148394.276483967
0.01	0.001	7	0.8	269607	173351.865621343
0.01	0.001	7	0.85	294585.2	194167.227932419
0.01	0.001	7	0.9	217473.6	97639.2613462433
0.01	0.001	7	0.95	223920.4	93585.606386025
0.01	0.001	7	1	163721.8	46420.2353264177
0.01	0.001	7	1.05	177901.8	161743.691889854
0.01	0.001	7	1.1	241897.4	166891.316409932
0.01	0.001	7	1.15	222824.4	257999.467993715
0.01	0.001	7	1.2	200542.8	117941.484200259
0.01	0.001	7	1.25	222192.4	145083.636029154
0.01	0.001	7	1.3	201627.4	62845.5716517878
0.01	0.001	7	1.35	126938.8	48136.9911456875
0.01	0.001	7	1.4	103723.6	83329.9187029485
