s	r	d	f	mean	sd
0.01	0.001	7	1.4	7.9404	2.48782166563442
0.01	0.001	7	1.45	7.0504	2.33502013695814
0.01	0.001	7	1.5	8.1748	1.86189993286428
0.01	0.001	8	0.1	40.6692	0.72570914283892
0.01	0.001	8	0.15	43.2748	0.789495636466724
0.01	0.001	8	0.2	42.1108	0.657606082696929
0.01	0.001	8	0.25	41.7968	0.756375145017339
0.01	0.001	8	0.3	25.2676	1.24878270327547
0.01	0.001	8	0.35	26.1516	2.48978823195869
0.01	0.001	8	0.4	26.698	2.40206311324245
0.01	0.001	8	0.45	15.926	1.32111891970405
0.01	0.001	8	0.5	21.396	5.32359472537119
0.01	0.001	8	0.55	15.629	2.63254724553995
0.01	0.001	8	0.6	18.7244	2.35908639943517
0.01	0.001	8	0.65	16.9776	2.13444490207642
0.01	0.001	8	0.7	13.0892	4.00567030096088
0.01	0.001	8	0.75	11.62	1.61160938195333
0.01	0.001	8	0.8	11.4492	1.5404366134314
0.01	0.001	8	0.85	10.114	3.00619573547698
0.01	0.001	8	0.9	10.888	2.41422948370697
0.01	0.001	8	0.95	9.1295	1.23001249993648
